BRASIL E UNIDADES DA FEDERAÇÃO,POPULAÇÃO ESTIMADA,sigla_estado
Brasil,212583750,
Norte,18669345,
Rondônia,1746227,RO
Acre,880631,AC
Amazonas,4281209,AM
Roraima,716793,RR
Pará,8664306,PA
Amapá,802837,AP
Tocantins,1577342,TO
Nordeste,57112096,
Maranhão,7010960,MA
Piauí,3375646,PI
Ceará,9233656,CE
Rio Grande do Norte,3446071,RN
Paraíba,4145040,PB
Pernambuco,9539029,PE
Alagoas,3220104,AL
Sergipe,2291077,SE
Bahia,14850513,BA
Sudeste,88617693,
Minas Gerais,21322691,MG
Espírito Santo,4102129,ES
Rio de Janeiro,17219679,RJ
São Paulo,45973194,SP
Sul,31113021,
Paraná,11824665,PR
Santa Catarina,8058441,SC
Rio Grande do Sul,11229915,RS
Centro-Oeste,17071595,
Mato Grosso do Sul,2901895,MS
Mato Grosso,3836399,MT
Goiás,7350483,GO
Distrito Federal,2982818,DF
,,
Fonte: IBGE. Diretoria de Pesquisas - DPE -  Coordenação de População e Indicadores Sociais - COPIS.,,
